Titles,SubTitle,Fields,Salaries,Locations,Cities,Experiences,Enrollment_statuses,Employment type,Working Condition,Internship info,Educations,Dates,Job Places,Demands,Responsibilities,Professional skills,Soft skills,Languages
Бухгалтер,бухгалтер,Қаржы және бухгалтерлік есеп,150 000 тг. бастап,"""Петропавл қаласы әкімдігінің тұрғын үй инспекциясы бөлімі"" коммуналдық мемлекеттік мекемесі","Солтүстік Қазақстан облысы, Петропавл қ.",3 жыл жұмыс өтілі,толық жұмыс күні,тұрақты,қалыпты,Болжанбайды,техникалық және кәсіби,08.05.2025 жарияланды,1,,,"Белгіленген есеп нысандарын жүргізу;
                                            



                                                Кассалық, ұйымдастырушылық-өкімдік, есептік құжаттарды жүргізу;
                                            



                                                Бюджеттік жоспарлау;
                                            



                                                Қаржылық жоспарлау;
                                            



                                                Салық және басқа да міндетті төлемдерді есептеу және аудару;
                                            



                                                Бухгалтерлік есепті және қаржы-шаруашылық қызметті ұйымдастыру;
                                            



                                                1С:Бухгалтерия бағдарламасында жұмыс;","Жауапкершілік;
                                        

                                            Дербестік және жауапкершілік;
                                        

                                            Күйзеліске тұрақтылық;",
Автоэлектрик-электроник,Автоэлектрик на грузовые автомобили,Көлік және логистика,400 000 тг. бастап,ИП ПЕРЕПЕЛКИН АЛЕКСЕЙ ЯКОВЛЕВИЧ,"Батыс Қазақстан облысы, Орал қ.",2 жыл жұмыс өтілі,толық жұмыс күні,тұрақты,қалыпты,"Болжанады, төленбейді",ортадан кейін,08.05.2025 жарияланды,5,,Поиск и устранение электрических неисправностей. Знание устройства автомобиля. Умение читать электрические схемы. Навыки работы с диагностическим оборудованием.,"Жабдық пен машиналардың күрделілігі орташа тораптары мен тетіктерін бөлшектеу;
                                            



                                                Автомобиль бөлшектерін жөндеу және ауыстыру;
                                            



                                                Түрлі маркалы және модельді автомобильдер жұмысының принциптері мен құрылғыларын білу;",Дербестік және жауапкершілік;,
Дәрігер-педиатр,врач педиатр,Медицина және фармацевтика,от 150 000 до 250 000 тг.,"Абай облысы денсаулық сақтау басқармасының ""Жарма аудандық ауруханасы"" шаруашылық жүргізу құқығындағы коммуналдық мемлекеттік кәсіпорны","Абай облысы, Жарма ауданы, Қалбатау а.",Еңбек өтілі жоқ,толық жұмыс күні,тұрақты,қалыпты,Болжанбайды,жоғары,08.05.2025 жарияланды,2,,,"Медициналық құжаттаманы жүргізу;
                                            



                                                Консультациялық көмек көрсету;
                                            



                                                Емдеу-алдын алу көмегін көрсету;
                                            



                                                Амбулаториялық қабылдау, медициналық құжаттарды ресімдеу;",Жауапкершілік;,
Ұйымдастырушы мұғалім,педагог ұйымдастырушы,Білім беру және тәрбиелеу,от 85 000 до 100 000 тг.,"Түркістан облысының білім басқармасының Кентау қаласының білім бөлімінің ""Кентау оқушылар үйі"" мемлекеттік коммуналдық қазыналық кәсіпорны","Түркістан облысы, Кентау қ.",2 жыл жұмыс өтілі,толық емес жұмыс күні,уақытша,қалыпты,Болжанбайды,жоғары,08.05.2025 жарияланды,1,,"Ставка 0,5Педагог-ұйымдастырушының жетекші функциялары: тәрбиелік, қорғаушылық, ұйымдастырушылық-басқарушылық, әдістемелік, профилактикалық.Педагог-ұйымдастырушы жүзеге асыратын тәрбиелік функциямыналарды қамтамасыз етеді:

балалар мен жастардың тұлғалық дамуына мақсатты педагогикалық ықпал ету;

оқу қызметінде тиімді нәтижелерге қол жеткізу үшін жағдай жасау;

студенттерді рухани-адамгершілік және мәдени құндылықтармен таныстыру;

қоршаған ортаның тәрбиелік әлеуетін толық пайдалану;

мектеп оқушыларының өзін-өзі тәрбиелеуін, өзін-өзі тәрбиелеуін және өзін-өзі дамытуын ынталандыру.",Балалардың шығармашылық дамуы үшін сабақ өткізу;,"Жауапкершілік;
                                        

                                            Ұқыптылық;",
Халыққа қызмет көрсету маманы,Специалист по занятости населения ЦТМ,Әлеуметтік қызмет көрсету,180 000 тг. бастап,"Ақмола облысы жұмыспен қамтуды және әлеуметтік бағдарламаларды үйлестіру басқармасының ""Ақмола облысы бойынша еңбек мобильдігі орталығы"" коммуналдық мемлекеттік мекемесі","Ақмола облысы, Көкшетау қ.",3 жыл жұмыс өтілі,толық жұмыс күні,тұрақты,қалыпты,Болжанбайды,жоғары,08.05.2025 жарияланды,1,,,"Жеке және заңды тұлғаларға қызмет көрсету;
                                            



                                                Клиенттерге кеңес беру;
                                            



                                                Мемлекеттік органдармен өзара іс-қимыл;","Бейімділік;
                                        

                                            Жауапкершілік;","Орыс / орташа деңгей
   Қазақ / орташа деңгей"
Оқу бөлімі директорының (бастығы) орынбасары,Заместитель директора по учебной работе по специальности Физическая культура и спорт,Білім беру және тәрбиелеу,198 206 тг. бастап,«Жетісу облысының дене шынықтыру және спорт басқармасы» мемлекетттік мекемесінің «Жетісу облысының бокс бойынша олимпиада резервінің мамандандырылған балалар мен жасөспірімдер спорт мектебі» коммуналдық мемлекеттік мекемесі,"Жетісу облысы, Талдықорған қ.",5 жыл жұмыс өтілі,толық жұмыс күні,тұрақты,қалыпты,Болжанбайды,жоғары,08.05.2025 жарияланды,1,,,"Бағдарламаларды, бюджеттерді, дайындау және өткізу жоспарларын, іс-шараларды жасау;
                                            



                                                Тәрбие іс-шараларын өткізу;
                                            



                                                Білім беру ұйымының қызметін басқарады;
                                            



                                                Кәсіптік-педагогикалық диалог дағдысы;
                                            



                                                Семинарларды ұйымдастыру және өткізу;
                                            



                                                Оқу-тәрбие процесін жоспарлау және ұйымдастыру;
                                            



                                                Білім беру ортасын зерттеуді жоспарлау және жүргізу;","Жауапкершілік;
                                        

                                            Ұқыптылық;
                                        

                                            Тез шешім қабылдай білу;
                                        

                                            Командада жұмыс істей білу;
                                        

                                            Тәртіптілік;
                                        

                                            Сыпайылық;
                                        

                                            Парасаттылық;
                                        

                                            MS Office бағдарламасында жұмыс істеу;
                                        

                                            Электрондық кестелермен жұмыс;
                                        

                                            Компьютерлік сауаттылық;
                                        

                                            Көп мәселелік;",
Бет-жақ дәрігер-хирургы,детский,Медицина және фармацевтика,301 505 тг. бастап,"""Жамбыл облысы әкімдігінің денсаулық сақтау басқарамасы ""Жамбыл облыстық көп бейінді балалар ауруханасы"" шаруашылық жүргізу құқығындағы мемлекеттік коммуналдық кәсіпорны","Жамбыл облысы, Тараз қ.",Еңбек өтілі жоқ,толық жұмыс күні,тұрақты,қалыпты,Болжанбайды,жоғары,08.05.2025 жарияланды,1,,,"Аурулардың диагностикасы, емдеу, алдын алу;
                                            



                                                Жақ-бет аймағының жақ және жұмсақ тіндерінде жергілікті ауырсынуды орындау;
                                            



                                                Жақ-бет аймағының қабыну ауруларын емдеу;
                                            



                                                Жақ-бет аймағының туа біткен ақаулары бар балалар мен ересектерді емдеу;
                                            



                                                Самай-төменгі жақ буынының патологиясы бар балаларды емдеу;
                                            



                                                Балаларда жақ-бет аймағының жарақаттарын ұштастыра отырып, бет қаңқасы сүйектерінің сынықтарын емдеу;
                                            



                                                Тістің жарақаттарын, бет және ауыз қуысының жұмсақ тіндерінің зақымдануын емдеу;","Жауапкершілік;
                                        

                                            Ұқыптылық;
                                        

                                            Дербестік және жауапкершілік;
                                        

                                            Тез шешім қабылдай білу;",
Ғимараттарды жөндеу және қызмет көрсету жөніндегі жұмысшы,рабочий,ТКШ және абаттандыру,от 100 000 до 120 000 тг.,«Жетісу облысының денсаулық сақтау басқармасы» мемлекеттік мекемесінің шаруашылық жүргізу құқығындағы «Облыстық жедел және шұғыл медициналық жәрдем көрсету станциясы» мемлекеттік коммуналдық кәсіпорыны,"Жетісу облысы, Талдықорған қ.",Еңбек өтілі жоқ,толық жұмыс күні,тұрақты,қалыпты,Болжанбайды,жалпы орта (1 сыныптан 11/12 сыныптарға дейін),08.05.2025 жарияланды,1,,,"Телімді салуға, қайта жаңартуға және жөндеуге дайындау;
                                            



                                                Электр жабдықтарының жұмысын қолдау;
                                            



                                                Жабдықтардың, ғимараттар мен құрылыстардың техникалық жай-күйін қамтамасыз ету;
                                            



                                                Тұрғын және тұрғын емес ғимараттардың техникалық жай-күйін тексеру;
                                            



                                                Ғимараттар мен құрылыстарды күтіп ұстау және ағымдағы жөндеу жөніндегі жұмыстардың тізімдемесі;
                                            



                                                Ғимараттар мен құрылыстарды жөндеу;
                                            



                                                Жөндеу және техникалық қызмет көрсету;",Дербестік және жауапкершілік;,
Актер,Қосымша білім беру педагогы,Мәдениет және спорт,от 85 000 до 100 000 тг.,"Түркістан облысының білім басқармасының Кентау қаласының білім бөлімінің ""Кентау оқушылар үйі"" мемлекеттік коммуналдық қазыналық кәсіпорны","Түркістан облысы, Кентау қ.",2 жыл жұмыс өтілі,толық емес жұмыс күні,уақытша,қалыпты,Болжанбайды,жоғары,08.05.2025 жарияланды,1,,"Қосымша білім беру мұғалімінің міндеттеріне мыналар жатады:
Сабақтарға қатысу үшін топтар құру. Таңдау пәніне қатысу талап етілмейтіндіктен, мұғалім өз студиясын немесе үйірмесін дұрыс көрсете білуі және студенттерді оған келуге ынталандыруы керек
Оқу бағдарламаларын, әдістемелік материалдарды құрастыру, сыныптардың оқу бағдарламаларын әзірлеу
Таңдау курсының оқушылары қатыса алатын іс-шараларды ұйымдастыру: есеп беру концерттері,семинарлар, фестивальдар, байқаулар және т.б
Оқушыларды мәлімделген дағдыларға тәрбиелеу, дамыған дарындылық деңгейін жүйеленген қолдау
Ата-аналарға баланың бойындағы белгілі бір қабілеттер мен дағдыларды дамыту, тәрбиелеу мәселелері бойынша кеңес беру
Әдістемелік жұмысы
Ставка 0,5","Актерлік шеберлік;
                                            



                                                Актерлік техниканың барлық элементтерін және мәнерлі құралдардың әртүрлілігін білу;","Жауапкершілік;
                                        

                                            Дербестік және жауапкершілік;",
Аула сыпырушы,дворник в детском саду,Біліктілігі жоқ мамандықтар,90 000 тг. бастап,"Алматы қаласы Білім басқармасының ""№197 бөбекжай-балабақшасы"" коммуналдық мемлекеттік қазыналық кәсіпорны","Алматы  қ., Алатау ауданы",Еңбек өтілі жоқ,толық жұмыс күні,тұрақты,қалыпты,Болжанбайды,жалпы орта (1 сыныптан 11/12 сыныптарға дейін),08.05.2025 жарияланды,1,,,"Тұрғын және тұрғын емес ғимараттар аумағын абаттандыру бойынша жұмыстар;
                                            



                                                Цех аумағында және үй-жайларында тәртіп пен тазалықты сақтауды бақылау;
                                            



                                                Қасбеттер(фасад) тазарту;
                                            



                                                Көшелерді тазарту;","Жауапкершілік;
                                        

                                            Ұқыптылық;
                                        

                                            Дәлдік;",
Әлеуметтік қызметкер,ассистент по социальной работе КЦ Буландынского района,Әлеуметтік қызмет көрсету,140 000 тг. бастап,"Ақмола облысы жұмыспен қамтуды және әлеуметтік бағдарламаларды үйлестіру басқармасының ""Ақмола облысы бойынша еңбек мобильдігі орталығы"" коммуналдық мемлекеттік мекемесі","Ақмола облысы, Бұланды ауданы, Макинск қ.",Еңбек өтілі жоқ,толық жұмыс күні,тұрақты,қалыпты,Болжанбайды,техникалық және кәсіби,08.05.2025 жарияланды,1,,,Ақпараттық-кеңес беру жұмысын жүргізу;,Дербестік және жауапкершілік;,
Күзетші,күзетші,Қауіпсіздік және ТЖ,от 85 000 до 100 000 тг.,"""Жетісу облысы білім басқармасының Ақсу ауданы бойынша білім бөлімі"" мемлекеттік мекемесінің ""Мектепке дейінгі шағын орталығы бар Егінсу орта мектебі"" коммуналдық мемлекеттік мекемесі","Жетісу облысы, Ақсу ауданы, Егінсу а.",Еңбек өтілі жоқ,толық жұмыс күні,тұрақты,қалыпты,Болжанбайды,жалпы орта (1 сыныптан 11/12 сыныптарға дейін),08.05.2025 жарияланды,1,,,"Мүліктің сақталуын қадағалау;
                                            



                                                Құрылыстардың сақталуын қадағалау;
                                            



                                                Тұрғын және тұрғын емес ғимараттардың техникалық жай-күйін тексеру;
                                            



                                                Аумақты аралау;
                                            



                                                Техниканы және бейнебақылау жүйесін бақылау;","Бейімділік;
                                        

                                            Жауапкершілік;
                                        

                                            Ұқыптылық;",
Әлеуметтік жұмыс жөніндегі маман,специалист по взаимодействию с работодателями,Әлеуметтік қызмет көрсету,180 000 тг. бастап,"Ақмола облысы жұмыспен қамтуды және әлеуметтік бағдарламаларды үйлестіру басқармасының ""Ақмола облысы бойынша еңбек мобильдігі орталығы"" коммуналдық мемлекеттік мекемесі","Ақмола облысы, Бұланды ауданы, Макинск қ.",Еңбек өтілі жоқ,толық жұмыс күні,уақытша,қалыпты,Болжанбайды,техникалық және кәсіби,08.05.2025 жарияланды,1,,,"Құжаттарды жүргізу және жасау;
                                            



                                                Ақпараттық-кеңес беру жұмысын жүргізу;",Дербестік және жауапкершілік;,
Аула сыпырушы,дворник,Біліктілігі жоқ мамандықтар,от 100 000 до 120 000 тг.,"Ұлытау облысы білім басқармасының Ұлытау ауданы білім бөлімінің ""Мінәжат Мыңқаев атындағы №10 жалпы білім беретін мектебі"" коммуналдық мемлекеттік мекемесі","Ұлытау облысы, Ұлытау ауданы, Борсеңгір а.",Еңбек өтілі жоқ,толық жұмыс күні,тұрақты,қалыпты,Болжанбайды,жалпы орта (1 сыныптан 11/12 сыныптарға дейін),08.05.2025 жарияланды,1,,,Көшелерді тазарту;,Бейімділік;,
Шақыртуға дейінгі даярлық жетекшісі (әскери жетекші),АӘД пәні мұғалімі,Білім беру және тәрбиелеу,от 180 000 до 200 000 тг.,"Ұлытау облысы білім басқармасының Ұлытау ауданы білім бөлімінің ""Мінәжат Мыңқаев атындағы №10 жалпы білім беретін мектебі"" коммуналдық мемлекеттік мекемесі","Ұлытау облысы, Ұлытау ауданы, Борсеңгір а.",Еңбек өтілі жоқ,толық жұмыс күні,тұрақты,қалыпты,Болжанбайды,жоғары,08.05.2025 жарияланды,1,,,Оқу-жаттығу сабақтарын модельдеу;,Бейімділік;,
Вокал оқытушысы (ән айту),Қосымша білім беру педагог,Білім беру және тәрбиелеу,85 000 тг. бастап,"Түркістан облысының білім басқармасының Кентау қаласының білім бөлімінің ""Кентау оқушылар үйі"" мемлекеттік коммуналдық қазыналық кәсіпорны","Түркістан облысы, Кентау қ.",2 жыл жұмыс өтілі,толық емес жұмыс күні,уақытша,қалыпты,Болжанбайды,жоғары,08.05.2025 жарияланды,1,,,"Музыка теориясы мен сольфеджио негіздерін білу;
                                            



                                                Музыкалық сауат және хореография негіздері;","Бейімділік;
                                        

                                            Жауапкершілік;
                                        

                                            Шығармашылық және шығармашылық;",
Үй-жайларды тазалаушы,уборщик служебных помещений,Біліктілігі жоқ мамандықтар,85 000 тг. бастап,"Ақмола облысы жұмыспен қамтуды және әлеуметтік бағдарламаларды үйлестіру басқармасының ""Ақмола облысы бойынша еңбек мобильдігі орталығы"" коммуналдық мемлекеттік мекемесі","Ақмола облысы, Көкшетау қ.",Еңбек өтілі жоқ,толық емес жұмыс күні,тұрақты,қалыпты,Болжанбайды,жалпы орта (1 сыныптан 11/12 сыныптарға дейін),08.05.2025 жарияланды,1,,,"Аппараттарды тазалау және жуу, санитарлық-гигиеналық талаптарды орындау;",Жауапкершілік;,
Биология пәнінің мұғалімі,Қосымша білім беру педагог,Білім беру және тәрбиелеу,от 85 000 до 130 000 тг.,"Түркістан облысының білім басқармасының Кентау қаласының білім бөлімінің ""Кентау оқушылар үйі"" мемлекеттік коммуналдық қазыналық кәсіпорны","Түркістан облысы, Кентау қ.",2 жыл жұмыс өтілі,толық емес жұмыс күні,уақытша,қалыпты,Болжанбайды,жоғары,08.05.2025 жарияланды,1,,"Қосышма білім беру педагогы Ставка 0,5Қосымша білім беру педагогы&mdash; тұлғаның талантын, ақыл-ой мен дене қабілеттерін дамытуға, жалпы мәдениетін қалыптастыруға ықпал ететін білікті педагог. Балалар орталықтарында, мәдениет сарайларында және т.б. қосымша білім беру курстарын/үйірмелерін жүргізеді.Клубтардың, үйірмелердің, секциялардың, әуесқой бірлестіктердің жұмысын ұйымдастырады, балалармен және жасөспірімдермен пәндік жеке немесе топтық жұмыстарды жүргізеді.Олардың міндеттеріне мыналар жатады:
жұмыс бағыты бойынша сабақты жоспарлау және өткізу;
сабақ барысында балаларға қарау;
ата-аналармен жұмыс.","Топырақтың минералды және химиялық құрамын зерттеу;
                                            



                                                Химиялық реактивтерді дайындау;
                                            



                                                Физика-химиялық талдау нәтижелерін жүйелеу;
                                            



                                                Сабақты өз бетінше құрастыра білу;
                                            



                                                Сабақты үлгілеу;
                                            



                                                Білім беру ұйымы деңгейінде тәжірибелерді жинақтау;
                                            



                                                Оқу сабақтарын жоспарлау;","Бейімділік;
                                        

                                            Жауапкершілік;",
Әлеуметтік жұмыс жөніндегі маман,специалист по содействию занятости,Әлеуметтік қызмет көрсету,180 000 тг. бастап,"Ақмола облысы жұмыспен қамтуды және әлеуметтік бағдарламаларды үйлестіру басқармасының ""Ақмола облысы бойынша еңбек мобильдігі орталығы"" коммуналдық мемлекеттік мекемесі","Ақмола облысы, Ерейментау ауданы, Ерейментау қ.",Еңбек өтілі жоқ,толық жұмыс күні,тұрақты,қалыпты,Болжанбайды,техникалық және кәсіби,08.05.2025 жарияланды,1,,,"Құжаттарды жүргізу және жасау;
                                            



                                                Ақпараттық-кеңес беру жұмысын жүргізу;
                                            



                                                Химиялық зертханалық талдау;",Дербестік және жауапкершілік;,
Инженер-жобалаушы,Проектировщик со знанием AutoCAD,Құрылыс және сәулет,200 000 тг. бастап,"""Kaz Munai Technology"" жауапкершілігі шектеулі серіктестігі","Маңғыстау облысы, Ақтау қ.",3 жыл жұмыс өтілі,толық жұмыс күні,тұрақты,қалыпты,"Болжанады, төленеді",жоғары,08.05.2025 жарияланды,1,,,"Сызбаларды автоматты жобалау, құру, редакциялау және басып шығару;
                                            



                                                Жобалау бөлімшесінің жұмысын ұйымдастыру;
                                            



                                                Жұмыс өндірісінің жобасын әзірлеу;","Ұқыптылық;
                                        

                                            Дербестік және жауапкершілік;
                                        

                                            Шыдамдылық;
                                        

                                            Тез шешім қабылдай білу;","Қазақ / жоғары деңгей
  Орыс / жоғары деңгей
 Ағылшын / жетік деңгей"
Акушер,акушерка,Медицина және фармацевтика,от 110 000 до 150 000 тг.,"Абай облысы денсаулық сақтау басқармасының ""Жарма аудандық ауруханасы"" шаруашылық жүргізу құқығындағы коммуналдық мемлекеттік кәсіпорны","Абай облысы, Жарма ауданы, Қалбатау а.",Еңбек өтілі жоқ,толық жұмыс күні,тұрақты,қалыпты,Болжанбайды,техникалық және кәсіби,08.05.2025 жарияланды,1,,,"Жүкті әйелдерге және гинекологиялық науқастарға дәрігерге дейінгі медициналық көмек көрсету;
                                            



                                                Жүкті және босанатын әйелдерді үйде диспансерлеу және патронаждау;",Жауапкершілік;,
Директордың тәрбие ісі жөніндегі орынбасары,Директордың тәрбие ісі жөніндегі орынбасары,Білім беру және тәрбиелеу,от 240 000 до 260 000 тг.,"Ұлытау облысы білім басқармасының Ұлытау ауданы білім бөлімінің ""Мінәжат Мыңқаев атындағы №10 жалпы білім беретін мектебі"" коммуналдық мемлекеттік мекемесі","Ұлытау облысы, Ұлытау ауданы, Борсеңгір а.",Еңбек өтілі жоқ,толық жұмыс күні,тұрақты,қалыпты,Болжанбайды,жоғары,08.05.2025 жарияланды,1,,,Тәрбие іс-шараларын өткізу;,Бейімділік;,
Мұгалімнің көмекшісі,Ассистент педагога в ясли - саду,Білім беру және тәрбиелеу,200 000 тг. бастап,"""NNEF"" қоғамдық қорының Астана қаласындағы филиалы ""Мирас"" Бөбекжай-бақша""","Астана қ., ""Алматы"" ауданы",3 жыл жұмыс өтілі,толық жұмыс күні,тұрақты,қалыпты,"Болжанады, төленбейді",техникалық және кәсіби,08.05.2025 жарияланды,1,,"1 Помогает воспитателям и специалистам в организации и проведении воспитательно - образовательного процесса; создании полиязычной среды во время организованной учебной и внеучебной деятельности; соблюдает требования инструкции по охране жизни и здоровья детей в помещениях ясли - сада и на его территории.
2 Оказывает помощь участникам образовательного процесса при организации режимных моментов и оздоровительной работы ясли - сада.
3 Соблюдает выполнение установленного режима дня и необходимые условия безопасности жизни и здоровья детей во всех видах деятельности. Во время мероприятий, проводимых с участием воспитателей и других педагогов, находится с детьми.
4 Совместно с медперсоналом ясли - сада регулярно помогает в проведении комплексных мероприятий, способствующих укреплению здоровья, психофизическому развитию детей, осуществляет, в случае необходимости, гигиенический уход за детьми раннего возраста, оказывает первую доврачебную помощь.","Сабақ/сабақ өткізу;
                                            



                                                Педагогикалық тактаны және педагогикалық этика ережелерін сақтау;
                                            



                                                Мұғалімдердің жұмыс орнын дайындау;","Бейімділік;
                                        

                                            Дербестік және жауапкершілік;
                                        

                                            Командада жұмыс істей білу;",
Бала бақшасындағы күтуші,няня,Білім беру және тәрбиелеу,от 100 000 до 150 000 тг.,"""Қарлығаш"" балалар бақшасы"" жауапкершілігі шектеулі серіктестігі","Түркістан облысы, Түркістан қ.",Еңбек өтілі жоқ,толық жұмыс күні,тұрақты,қалыпты,Болжанбайды,ортадан кейін,08.05.2025 жарияланды,1,,,Балалармен ойын;,Жауапкершілік;,
Бала бақшасындағы күтуші,няня,Білім беру және тәрбиелеу,от 100 000 до 150 000 тг.,"""Қарлығаш"" балалар бақшасы"" жауапкершілігі шектеулі серіктестігі","Түркістан облысы, Түркістан қ.",Еңбек өтілі жоқ,толық жұмыс күні,тұрақты,қалыпты,Болжанбайды,жалпы орта (1 сыныптан 11/12 сыныптарға дейін),08.05.2025 жарияланды,1,,,Балалармен ойын;,Жауапкершілік;,
Әлеуметтік жұмыс жөніндегі маман,аналитик рынка труда,Әлеуметтік қызмет көрсету,200 000 тг. бастап,"Ақмола облысы жұмыспен қамтуды және әлеуметтік бағдарламаларды үйлестіру басқармасының ""Ақмола облысы бойынша еңбек мобильдігі орталығы"" коммуналдық мемлекеттік мекемесі","Ақмола облысы, Көкшетау қ.",Еңбек өтілі жоқ,толық жұмыс күні,тұрақты,қалыпты,Болжанбайды,жоғары,08.05.2025 жарияланды,1,,,"Құжаттарды жүргізу және жасау;
                                            



                                                Ақпараттық-кеңес беру жұмысын жүргізу;",Дербестік және жауапкершілік;,
Дәрігер травматолог-ортопед,детский,Медицина және фармацевтика,383 495 тг. бастап,"""Жамбыл облысы әкімдігінің денсаулық сақтау басқарамасы ""Жамбыл облыстық көп бейінді балалар ауруханасы"" шаруашылық жүргізу құқығындағы мемлекеттік коммуналдық кәсіпорны","Жамбыл облысы, Тараз қ.",Еңбек өтілі жоқ,толық жұмыс күні,тұрақты,қалыпты,Болжанбайды,жалпы орта (1 сыныптан 11/12 сыныптарға дейін),08.05.2025 жарияланды,2,,,"Білікті, жедел және басқа да медициналық көмек көрсету;
                                            



                                                Молекулалық биология;","Ұқыптылық;
                                        

                                            Дербестік және жауапкершілік;
                                        

                                            Шыдамдылық;",
Қосалқы жұмысшы,,Біліктілігі жоқ мамандықтар,85 000 тг. бастап,ИП Изтелеуова,"Қостанай облысы, Наурызым ауданы, Қарамеңді а.",Еңбек өтілі жоқ,толық жұмыс күні,тұрақты,қалыпты,Болжанбайды,жалпы орта (1 сыныптан 11/12 сыныптарға дейін),08.05.2025 жарияланды,3,,,Өсімдікке инфекцияның енуін болдырмау;,Жауапкершілік;,
Ас бөлме жұмысшысы,кухонный работник,Біліктілігі жоқ мамандықтар,146 000 тг. бастап,"""Шығыс-Қазақстан ұн құрама жем комбинаты"" акционерлік қоғамы","Абай облысы, Семей қ.",Еңбек өтілі жоқ,толық жұмыс күні,тұрақты,қалыпты,Болжанбайды,жалпы орта (1 сыныптан 11/12 сыныптарға дейін),08.05.2025 жарияланды,1,,,"Шаруашылық құрал-сайманды тазалау және зарасыздандыру;
                                            



                                                Жинау;
                                            



                                                Өндірістік санитарияны және еңбекті қорғауды сақтау;",Жауапкершілік;,
Мейіргер,медсестра,Медицина және фармацевтика,от 150 000 до 160 000 тг.,"Алматы қаласы Білім басқармасының ""№ 190 бөбекжай - балабақшасы"" коммуналдық мемлекеттік қазыналық кәсіпорны","Алматы  қ., Әуезов ауданы",Еңбек өтілі жоқ,толық жұмыс күні,тұрақты,қалыпты,Болжанбайды,техникалық және кәсіби,08.05.2025 жарияланды,1,,,"Дәрігерге дейінгі медициналық көмек көрсету;
                                            



                                                Алғашқы медициналық көмек көрсету;
                                            



                                                Пациентті емдеуге дайындау;","Бейімділік;
                                        

                                            Жауапкершілік;
                                        

                                            Ұқыптылық;",
Бала бақшасындағы күтуші,няня,Білім беру және тәрбиелеу,от 100 000 до 150 000 тг.,"""Қарлығаш"" балалар бақшасы"" жауапкершілігі шектеулі серіктестігі","Түркістан облысы, Түркістан қ.",Еңбек өтілі жоқ,толық жұмыс күні,тұрақты,қалыпты,Болжанбайды,ортадан кейін,08.05.2025 жарияланды,1,,,Балалармен ойын;,Жауапкершілік;,
